num_hops,packet_count,byte_count,flow_duration,cpu_usage,carbon_intensity,protocol,carbon_emission
2,907,125166,34.38109842703502,44.16343756070033,379.35964918661085,TCP,0.009408676310893998
2,4866,496332,48.96536310152912,37.026619156131424,529.1463359799244,UDP,0.014820787102143788
6,6756,5316972,302.74948589817495,71.85527483630837,381.6589271647857,UDP,0.24360029656486973
6,5052,7224360,341.9380152876947,59.86291677014597,422.7882871179562,TCP,0.187741663465412
6,3289,3469895,221.63079629680945,47.26604138571909,426.7716822941676,TCP,0.19743451610362248
7,3343,805663,113.14772432552073,74.7509676909249,292.4955308311933,TCP,0.09850885444473899
3,1673,414904,51.08802125135287,58.21864033652207,345.2747624040551,ICMP,0.023032366742703033
2,3716,1185404,69.10861020036901,29.319278917484365,376.9620933361663,UDP,0.0257759184178812
2,829,336574,40.69704888430724,85.00496310060609,552.7420084661035,ICMP,0.01842064211489626
1,3007,712659,32.49723154113382,54.00719777434632,444.34483829093824,UDP,0.007253311062825339
3,3296,4887968,227.84671208644235,56.05515574072166,567.3894779079387,TCP,0.189664711782927
2,5077,5823319,279.9955625194097,21.407442418319295,309.53558133974724,TCP,0.0833272003688959
2,705,174840,41.79584909256137,53.45057253485251,476.3649123809844,ICMP,0.017790299491289897
2,2715,1197315,73.55788553092952,87.60043651905622,440.35956445287655,ICMP,0.021880885868764074
5,2452,3084616,178.3035129155749,89.4103009615351,516.2782346182264,TCP,0.1140267177532687
2,5577,8181459,312.88437207697933,12.13525224280948,427.151040112951,UDP,0.11697287157260565
2,4885,1431305,86.10347494031413,17.153597306542075,291.5711590020035,TCP,0.011962182749976479
2,874,319884,30.918136079867,11.15691182981441,367.809020417559,ICMP,0.00865710105093516
2,3622,3571292,164.38466163118048,49.49316915563177,453.87762239474375,TCP,0.04847135536440044
1,3943,2882333,134.47279049333486,86.30105570973019,480.62646297195556,ICMP,0.028126945336903415
2,3188,2591844,129.34424968786595,61.30429945858885,375.8037380152206,UDP,0.02783546738770827
5,3781,3996517,213.70849109110986,67.50529585027726,232.6165490384281,UDP,0.06484527908186871
6,254,133096,81.83685476958655,95.42040832807784,261.6298420655582,TCP,0.044797015534154064
2,1752,902280,58.90429275074041,83.94728257994903,448.8753415930826,TCP,0.017762472631255317
2,5606,3229056,144.16955359761923,66.63177031278005,533.1983860598966,UDP,0.08868981084779883
2,1004,1092352,62.19511203597374,61.45469767885004,322.11424657865996,ICMP,0.032005799049667154
2,3319,431470,28.681430407598214,21.743168954226405,325.2963065257179,TCP,0.008402220934054712
2,2749,2254180,107.33643805751021,97.20058035644477,251.91528254110855,TCP,0.032162558796490395
4,5210,6231160,309.7047828863787,54.04370436075058,239.2607465055981,TCP,0.09132059852978945
2,4759,7128982,293.0884453210178,33.649013626437736,523.5630459287914,ICMP,0.08901767187480329
2,4533,2135043,112.49222001375351,32.77748970033531,457.8701614711545,UDP,0.039802797419647394
2,3432,243672,32.15083757445433,29.620836170891696,274.5569672202864,TCP,0.006354791188241047
4,334,250834,63.030350829527826,12.912620176149614,435.2520472526524,ICMP,0.01971343713550349
3,1940,2525880,136.6006617805899,45.21920380991187,319.80152071539106,TCP,0.0610736424494228
2,2678,1788904,94.40558966920928,19.438025696463715,287.8532294510449,ICMP,0.015877238901491814
6,7937,9246605,425.29234904304786,33.65585503078886,525.5992352364343,ICMP,0.4514290851649783
2,1195,1232045,81.01136252476121,11.239395394279478,321.79930722639676,ICMP,0.011586582502300331
2,417,385308,32.4733847332292,66.01226303643142,486.4808710550831,TCP,0.018948133784321235
1,294,155820,23.280573019133573,90.00166871416162,363.79645392201286,ICMP,0.003235231869593191
2,2016,362880,32.939599601241014,16.27223528023391,333.42543784654134,ICMP,0.00502979133551482
2,4548,6608244,284.0384819992144,63.25355787331172,290.29554849344805,ICMP,0.05781770361183132
1,4587,1747647,83.59303149765084,72.76130922623338,297.33526056585595,TCP,0.0217596909683078
2,2877,2597931,131.8934686134848,15.236371120015791,527.9942673732496,TCP,0.046225115444439066
5,2008,242968,71.9369377456066,43.60492524720913,310.92456521032057,TCP,0.02393447944913789
2,1508,1179256,62.14803739371111,66.89587129326527,236.0619760832623,TCP,0.011987312024159261
3,3438,3802428,207.91476916388328,52.00360386735014,472.1241491814143,ICMP,0.1414647850802917
2,756,840672,54.54345613807197,30.086684895811537,595.7635498650426,UDP,0.014090430867200273
2,5612,656604,48.329543926514184,94.44906484087788,508.76415523413124,ICMP,0.026387552394959782
5,6298,2311366,147.5179730815025,55.38029895687648,372.07266639124055,UDP,0.10312362055286212
6,1443,1344876,129.47173558006904,68.42406684190806,433.261552217895,TCP,0.08794381739538143
4,148,185592,56.94812649181107,70.88181351705741,495.11594976431206,UDP,0.05545661324513632
1,1089,576081,42.430552466129924,52.166511772237826,445.0142422389986,TCP,0.015938617906083512
2,3888,279936,33.61188890160638,26.841752349917865,478.13204478865833,ICMP,0.016312213979351262
3,4815,5233905,250.3698063267965,27.780182591007097,422.67193244088656,ICMP,0.05801480502733489
4,3473,2705467,148.68493810385067,45.80696089008168,386.9128866742471,UDP,0.07454477832662731
5,6801,9881853,457.6094335295796,21.313754519273065,236.38063513623564,ICMP,0.17900010237434516
2,534,93984,30.07477439456427,20.593617953820132,516.2619009066298,UDP,0.011580773894943509
3,1638,1721538,103.76973013653948,27.628075913839982,478.0543342290301,UDP,0.06964591146100878
2,5521,4245649,178.49209902432617,39.33633441667605,349.28523578919305,ICMP,0.052404312869512526
2,1345,1451255,89.67731051121424,16.02220172271238,511.14992466351396,UDP,0.03419533371613346
6,2848,2312576,168.76023905388078,85.55881337157955,273.53333480339376,ICMP,0.07858037863533468
1,5138,7660758,290.14118497090567,81.48464866452419,244.53319716448905,ICMP,0.03802765913381019
2,4908,3175476,168.68482763869264,69.84361318980127,289.82510875760664,TCP,0.06013681457011083
6,2180,1837740,159.85176114026189,74.73103303993693,517.6609590341803,UDP,0.14564849071985222
1,4880,3211040,133.98073340144646,32.206049545289346,488.89282574140793,UDP,0.042440282247264406
2,2686,2602734,136.95881114550352,77.9017619910451,486.93493529492656,ICMP,0.0603375663393413
2,1426,132618,19.50926443869455,80.09329591275937,376.08968940754977,UDP,0.007486944352220502
5,678,939030,106.38839512015836,44.321469494892405,404.36189995471085,ICMP,0.05776535322797839
1,5295,2165655,117.37832243238994,11.246255358770927,328.7792638640825,ICMP,0.02690498913285637
4,2158,1104896,88.91256261966541,91.23278433431813,508.6648891240119,ICMP,0.05076606459724282
1,4925,6220275,252.58726399163007,22.705814694254478,457.95006567477026,TCP,0.09735557625297833
2,5440,5570560,235.9274604406406,64.76930460896668,459.7005696488275,TCP,0.11719983660381292
2,2626,2943746,141.60919023315338,78.10971890721657,530.2641458403314,TCP,0.05851046457952236
1,3960,4011480,154.25281693706356,74.06685100990804,297.0098321999763,TCP,0.02891577620395781
2,661,241926,37.98746953947577,84.05157382471455,375.21530389304996,TCP,0.013771629528883604
2,4538,5177858,257.37248666073793,12.25085973372938,472.3074964917301,TCP,0.050545132989061214
1,3457,4103459,181.78041721830002,26.0906988362351,515.6807703217394,UDP,0.06589463192511123
3,1614,747282,65.13252351993974,64.37331650523528,264.02825513217044,TCP,0.025733970787572003
2,4678,3419618,170.78183638204942,30.413248935710467,256.9563156416013,TCP,0.034952040921170185
2,5260,7690120,327.93572514199246,12.28934959238064,298.02050035675524,TCP,0.06138219661899821
2,2182,1230648,72.19721742086871,57.41073551409304,458.22807717278306,UDP,0.042700097918009064
3,2385,806130,73.99499350666227,77.5259957456335,403.48175966635904,TCP,0.03664430151431005
2,5998,4786404,225.0558580770502,86.53267303038635,452.9298931004883,ICMP,0.06089529550872549
2,4292,2918560,145.7691498350799,26.974767791109233,546.7693444323951,TCP,0.04532946586590452
2,2968,1816416,112.6775718495248,44.74447716962893,493.98130039225526,UDP,0.029575964458695408
2,2314,1490216,89.09395368776899,29.296043694029848,533.9073596775802,UDP,0.03936889024528428
2,1353,250305,36.29782967291986,66.26531024455876,287.3687123068049,ICMP,0.01398894170793873
5,3885,4883445,256.1556020080269,84.25716428089007,208.3087065505857,UDP,0.07840047955505476
2,4272,3088656,135.98609970128246,52.649163327565404,388.69092532724994,UDP,0.03672314796597906
2,5706,8553294,357.56535969382395,25.977400308394476,493.1588138642903,UDP,0.17150940639801998
2,5050,3661250,183.97356772523085,44.63224307424974,318.3030017594409,UDP,0.0533466294091816
4,5243,2637229,142.8427311608825,30.970729015360718,414.7522852506456,TCP,0.102207300145502
3,5102,6545866,317.2808836272933,30.577007544576638,480.9981944613315,TCP,0.16659689353836124
1,1162,1633772,77.48848647494138,41.13055581827212,518.0196875091915,UDP,0.03167714561666401
2,204,282336,38.84480791729374,90.89264019977175,278.1169140087494,TCP,0.006300617608227299
4,1087,577197,69.05771619903845,84.61657949639364,254.51042460531568,TCP,0.019885435547571946
1,887,906514,47.53869085918449,40.1994763058242,496.06812928808085,UDP,0.011521248572532195
2,987,601083,57.49449341923878,40.569493248299146,535.2997302157264,UDP,0.02015084293949156
4,2598,3785286,196.25727035175245,15.437531292605222,390.7803969373357,ICMP,0.10567730428660335
3,5595,7592415,321.8554227826577,55.59948097558209,297.5249121253854,UDP,0.1161324667226327
3,6074,1348428,86.64052193199247,17.160980335505258,512.2610740767892,ICMP,0.055976386228034185
2,2650,3914050,187.2768877704167,19.96118313140492,488.5643526987167,UDP,0.063807659727783
3,5359,3767377,184.7682671215729,51.051127068491574,218.47994644837866,UDP,0.026043317037458498
6,3574,2619742,159.83995700309623,84.12435918341438,288.73378578929663,TCP,0.06862586795517572
2,2875,1178750,64.83950289531752,50.561498871214354,338.7352057947836,ICMP,0.022056729322842753
3,5484,1930368,110.96793578235894,31.806863521386106,472.39380573985716,UDP,0.06653960818623231
2,3114,2550366,132.37274509444703,59.1677735460917,518.9194101551373,TCP,0.045284998888554605
3,1158,415722,47.1860190950527,29.18093858162394,312.23438298346343,UDP,0.015104766731333248
6,7356,941568,103.8642225408597,24.40012697803286,319.12714545725737,UDP,0.058877474487546724
2,2301,1877616,97.2766563982862,11.653704578688846,544.463999025461,UDP,0.058785748932162374
4,750,742500,80.42250478588973,25.351621881140545,394.4194340620187,ICMP,0.04196831399776037
3,1679,1613519,99.49696794290749,37.79730697111512,558.322863824755,TCP,0.05438042697632482
2,3883,4741143,232.08851003573903,61.48713022972522,532.7533298319811,ICMP,0.07347471855769032
2,546,668304,44.95947921012184,78.1372547286744,582.7723806095788,TCP,0.033537047532445574
2,4066,3077962,157.37172738758403,68.74300197045758,286.02775142191416,ICMP,0.042734200191847656
4,3952,3809728,199.9799206978143,12.425587441232071,396.55747221613126,UDP,0.0939831709705526
2,3460,3065560,137.17279276957743,48.19180616522078,435.95698135697074,TCP,0.045997816162824556
2,4660,5312400,237.0214989025598,34.27534648635346,504.75764947445236,UDP,0.07507280549400326
5,4021,4977998,258.9706652785966,88.87536520044871,250.68603611367578,ICMP,0.09671531584229799
6,5584,4215920,258.9721943953543,86.4391764175335,536.8456156134921,TCP,0.26489128955122865
2,978,105624,23.992841557132465,12.31897529823372,496.0036180149556,ICMP,0.005053430161362614
5,5437,1109148,115.3524928351365,49.1813720134265,443.424809715792,ICMP,0.08458295550203672
2,3050,2247850,118.01329307421211,19.570036546947176,315.2845795918698,TCP,0.03666926037642501
6,4396,338492,80.99791343946116,95.54657305518377,309.66177935399514,TCP,0.03743162821267382
2,4622,2653028,139.48161569914694,80.39725665311987,270.4400165996374,UDP,0.014756800066296831
4,2686,306204,56.36475857955018,32.065727948796265,548.480533063282,UDP,0.03737273854705924
6,7691,10951984,485.8882354216477,67.45335508680378,246.73722137172084,UDP,0.15284390942312973
2,2079,2049894,113.40834507915417,60.6471615845836,374.6037232582944,TCP,0.04882058159294893
1,4496,2104128,89.19429007051723,87.57906765303801,524.1649556878774,UDP,0.016635793192124916
2,3082,1229718,70.94549977119426,54.74389442895012,314.1476388169534,UDP,0.023092297597692758
1,492,395076,33.96320910181919,57.702264597660616,477.8869528704814,UDP,0.010804158671316311
2,1030,347110,47.865166209053996,65.38697074528166,446.358337305356,ICMP,0.016500787426965695
2,2233,2460766,99.92130888386498,55.52126698218117,496.0285684370676,TCP,0.04818733686088557
5,5332,511872,73.01138994132755,63.34260530882081,285.20598594307967,ICMP,0.04115847838837928
2,942,1171848,63.10655362760748,76.55118610004295,429.81689603282354,ICMP,0.018631637026522607
4,3931,727235,78.90101364012446,92.7693194302973,435.1868467813603,UDP,0.044656965122562745
4,4677,5766741,271.62385516894165,71.21366131783022,512.7082637738577,UDP,0.23885777991173804
3,3584,1329664,86.65581908782815,13.9627860927718,297.07954150484466,ICMP,0.02515731539609911
2,3828,3449028,179.4024575668505,20.8546870240665,577.6983952599919,TCP,0.03660595968088864
7,4098,1753944,143.29111615784385,22.301243333133453,528.0638628488701,TCP,0.15518447635562607
2,1458,774198,60.16355205133494,47.33065526118169,473.6637107209715,TCP,0.013506570554762199
2,483,640458,40.718417858145486,44.4132796939515,199.47867902319254,TCP,0.006630861368734061
3,3564,2779920,135.7065164207397,11.103608879566973,479.82971767010486,ICMP,0.03499843526058552
2,1828,566680,44.766582519048974,24.770851387072632,522.1731700353944,ICMP,0.014940251246050907
6,3596,4257664,232.29480177177135,48.317065795225794,507.1045731870792,UDP,0.21195275427729474
6,4489,861888,98.42334981814389,61.013980904372126,336.5603356027953,UDP,0.07148597151373183
2,1370,116450,30.601951347434895,77.70369972680362,279.4336936231344,ICMP,0.007242522694119462
1,3148,3135408,137.66614380647988,29.569300816067223,515.2744559888175,ICMP,0.03118184243796641
2,5995,7619645,311.5360947901637,84.82653675596019,452.0984801712791,UDP,0.10255030578345695
5,3780,1481760,132.20939193397132,11.701215533058834,459.06629296166045,TCP,0.07844732761641711
2,981,1255680,84.2757616015711,87.7568139677227,406.0196317613737,UDP,0.017277846232895352
2,1341,533718,45.4525181555852,46.354645370056566,321.7554901471487,ICMP,0.012647600500457613
4,1309,1106105,106.99033676702363,67.49581956840139,269.9487162442047,UDP,0.03963099561146128
1,3012,1039140,46.20073609686801,90.45627836879594,325.432968867988,TCP,0.00816541773521572
5,7495,2795635,166.53765887564927,69.0624244370843,215.8590726302555,UDP,0.06809690442724872
6,6846,2553558,170.65960850699793,72.34403833791362,374.5438300833921,UDP,0.175671355075402
3,4018,4801510,235.25078849717514,78.32452605737022,466.2229341950141,ICMP,0.14493374542921225
4,4585,1320480,104.65696647844507,15.27979860608847,330.09112377932547,UDP,0.026748824797984336
2,3486,5009382,207.92416833992863,76.03895382409807,574.1648452731785,UDP,0.10257066153415888
4,3441,2955819,166.88874808252203,29.24386641936835,297.47117366681744,ICMP,0.08422735526670137
